Date,Playtime,Rank,Season,Result,Map,Agent,Rounds Won,Rounds Lost,Kills,Deaths,Assists,Headshots,Headshot Percentage,Damage,Received Damage,Kill Death Ratio
2021-04-15T22:14:47.608+00:00,19m 14s,Gold 3,E2: A2,victory,Haven,Killjoy,10,3,14,7,3,12,27.659574468085108,2723,1321,2.0
2021-04-15T21:29:39.825+00:00,34m 28s,Gold 3,E2: A2,defeat,Ascent,Sage,6,13,22,16,4,12,23.52941176470588,3204,2942,1.375
2021-04-15T20:54:47.245+00:00,32m 20s,Gold 3,E2: A2,victory,Ascent,Killjoy,13,6,15,9,3,8,12.676056338028168,2302,1911,1.6666666666666667
2021-04-02T21:57:05.997+00:00,25m 26s,Gold 2,E2: A2,victory,Ascent,Cypher,13,4,7,6,5,6,33.33333333333333,1538,1193,1.1666666666666667
2021-04-02T21:22:59.166+00:00,31m 33s,Gold 2,E2: A2,victory,Bind,Sage,13,6,4,13,8,2,9.090909090909092,924,2290,0.3076923076923077
2021-03-29T19:01:54.063+00:00,27m 20s,Gold 2,E2: A2,defeat,Bind,Sage,4,13,7,15,6,3,9.523809523809524,1526,2511,0.4666666666666667
2021-03-27T22:42:51.649+00:00,38m 16s,Gold 2,E2: A2,victory,Ascent,Skye,13,11,13,18,3,8,18.367346938775512,2465,2847,0.7222222222222222
2021-03-27T22:10:35.452+00:00,27m 26s,Gold 2,E2: A2,defeat,Bind,Cypher,3,13,10,13,2,4,10.869565217391305,1881,2394,0.7692307692307693
2021-03-27T21:25:18.664+00:00,34m 17s,Gold 2,E2: A2,victory,Icebox,Omen,13,8,12,15,3,5,10.204081632653061,2154,2406,0.8
2021-03-27T18:41:35.72+00:00,46m 07s,Gold 2,E2: A2,defeat,Haven,Omen,13,15,8,25,7,2,5.084745762711865,1932,4482,0.32
2021-03-26T18:46:58.972+00:00,34m 34s,Gold 2,E2: A2,victory,Icebox,Skye,13,9,20,14,4,7,14.285714285714285,2562,2799,1.4285714285714286
2021-03-25T23:00:24.647+00:00,35m 11s,Gold 2,E2: A2,victory,Split,Sage,13,10,19,17,7,13,23.333333333333332,3113,3194,1.1176470588235294
2021-03-25T22:19:35.579+00:00,37m 06s,Gold 2,E2: A2,victory,Split,Reyna,13,9,24,15,6,17,25.37313432835821,4052,2890,1.6
2021-03-24T22:10:02.016+00:00,42m 40s,Gold 2,E2: A2,defeat,Split,Killjoy,12,14,21,18,5,12,18.085106382978726,4309,3422,1.1666666666666667
2021-03-23T23:34:15.504+00:00,39m 35s,Gold 2,E2: A2,victory,Ascent,Reyna,14,12,18,16,7,12,21.052631578947366,3412,3126,1.125
2021-03-23T22:50:47.433+00:00,26m 48s,Gold 2,E2: A2,victory,Ascent,Reyna,13,4,14,12,1,7,16.3265306122449,2593,2439,1.1666666666666667
2021-03-23T22:08:03.666+00:00,37m 42s,Gold 2,E2: A2,victory,Ascent,Reyna,13,10,29,16,5,18,24.444444444444443,5279,2929,1.8125
2021-03-20T21:43:42.326+00:00,22m 21s,Gold 2,E2: A2,victory,Ascent,Cypher,13,1,4,9,3,3,17.391304347826086,1087,1561,0.4444444444444444
2021-03-20T20:11:27.483+00:00,24m 24s,Gold 2,E2: A2,defeat,Haven,Yoru,2,13,3,14,0,1,5.88235294117647,681,2265,0.21428571428571427
2021-03-20T19:54:06.819+00:00,14m 29s,Gold 2,E2: A2,victory,Icebox,Omen,13,3,6,7,0,3,15.789473684210526,1013,1050,0.8571428571428571
